,Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmácia,Região,Cidade,Unnamed: 0
10834,Protetor Solar Isdin Eryfotona AK-NMSC FPS 99 50ml,8429420070875.0,ISDIN,"O Fluído Fotoprotetor Isdin Eryfotona AK-NMSC ajuda a prevenir e a reduzir o risco do dano actínico na pele causado pelo sol. Cria uma película protetora de Repairsomes sobre a pele (UVB 99, UVA 38,8), que ajuda a prevenir o dano do DNA celular causado pela exposição solar. Adicionalmente ajuda a reduzir o risco do dano actínico, graças ao seu conteúdo Repairsomes (fotoliase e filtros UV).",174.99,174.99,0,Drogaria Globo,Sudeste,São Paulo,7980.0
10835,Omeprazol 20mg Genérico EMS 28 Comprimidos,7896004701967.0,OMEPRAZOL,"O omeprazol está indicado nas úlceras pépticas benignas, tanto gástrica como duodenal.",31.04,16.37,47,Drogaria Globo,Sudeste,São Paulo,7981.0
10836,Aparelho de Pressao Arterial Digital Automatico Pulso Sensor HEM-6300BR,73796630003.0,OMRON,,256.99,256.99,0,Drogaria Globo,Sudeste,São Paulo,7982.0
10837,Fralda Huggies Roupinha Natural Care G Mega 24 Unidades,7896007552689.0,HUGGIES,Feitas com fibras naturais. Cobertura respirável com mais de 10 mil poros. Maior liberdade de movimentos. Até 12 horas de máxima proteção. Hipoalergênico e dermatologicamente testadas.,42.79,42.79,0,Drogaria Globo,Sudeste,São Paulo,7983.0
10838,Creme Tratamento Elseve Óleo Extraordinário Nutrição Intensa 300g,7898587774475.0,ELSEVE,"O Creme de Tratamento Elseve Óleo Extraordinário Nutrição Intensa tem a combinação perfeita de micro-óleos de flores preciosas, garantindo maciez e brilho aos cabelos. Possui fórmula altamente nutritiva e hidratante para os cabelos secos, sem pesar.",21.39,21.39,0,Drogaria Globo,Sudeste,São Paulo,7984.0
10839,"Minilax 6,5g 7bisnagas",7891317015176.0,MINILAX,"Minilax� (sorbitol + laurilsulfato de sódio) é indicado como laxante no tratamento da constipação intestinal.  Minilax� (sorbitol + laurilsulfato de sódio) auxilia na normalização do ritmo intestinal no pós-operatório e no período pós-parto e pode ser usado para promover o esvaziamento intestinal no preparo para realização de anuscopia, retoscopia, partos e urografia excretora.",49.48,45.16,9,Drogaria Globo,Sudeste,São Paulo,7985.0
10840,Maleato de Enalapril 20mg Genérico Cimed 30 Comprimidos,7896523210773.0,ENALAPRIL,Seu médico prescreveu maleato de enalapril para controlar a pressão alta ou melhorar o desempenho do seu coração (tratamento da insuficiência cardíaca). Maleato de enalapril também é usado para a prevenção de insuficiência cardíaca sintomática.,35.18,10.49,70,Drogaria Globo,Sudeste,São Paulo,7986.0
10841,Nistatina 25000UI Creme Vaginal 60g Com 14 Aplicadores,7896714265766.0,NISTATINA,"Nistatina é um medicamento de uso tópico indicado para o tratamento assaduras em bebês, principalmente aquelas relacionadas ao atrito gerado pelas fraldas.",21.34,15.76,26,Drogaria Globo,Sudeste,São Paulo,7987.0
10842,Preservativo Jontex Sensation 3 Unidades,7891010799564.0,JONTEX,O Preservativo Jontex Sensation é uma camisinha texturizada especialmente desenvolvida para estimular a sensação de prazer do parceiro durante a relação e surpreender na hora do sexo.,7.99,7.99,0,Drogaria Globo,Sudeste,São Paulo,7988.0
10843,Hyalufem 5mg Gel Hidratante Intravaginal 24g,7896083411412.0,HYALUFEM,"Hyalufem é um gel hidratante intravaginal de longa duração, não hormonal, livre de parabenos e livre de derivados de petróleo.",72.79,72.79,0,Drogaria Globo,Sudeste,São Paulo,7989.0
10844,Pincel Ricca para Sombra,7897517908287.0,RICCA,Pincel para aplicação de sombras em pó.,7.49,7.49,0,Drogaria Globo,Sudeste,São Paulo,7990.0
10845,Fluibron Gotas 50ml,7896672203954.0,FLUIBRON,"O Fluibron exerce uma ação que diminui a viscosidade do catarro, tornando-o mais líquido. Essa ação ocorre através da estimulação dos mecanismos de limpeza das vias respiratórias, principalmente causando um ""amolecimento"" do catarro, facilitando assim a sua expectoração pela tosse. O tempo médio para início de ação do medicamento é de aproximadamente 2 horas.",25.97,22.27,14,Drogaria Globo,Sudeste,São Paulo,7991.0
10846,Shampoo Clear Dual Effect Men 200ml,7898422746216.0,CLEAR,"Formulado com Bio-booster, a nova tecnologia inteligente de Clear que alia a expertise no cuidado com o couro cabeludo e a expertise no cuidado com a pele, o Shampoo Anticaspa Clear Men Limpeza Diária 2 em 1 ajuda a ativar a proteção natural do couro cabeludo e acaba com a caspa que insiste em voltar*, nutrindo o couro cabeludo, dando-lhe cabelos saudáveis para o visual perfeito.",20.29,20.29,0,Drogaria Globo,Sudeste,São Paulo,7992.0
10847,Famox 20mg 10 Comprimidos,7896658000379.0,FAMOX,"Este medicamento é indicado para úlcera duodenal e gástrica benigna e prevenção de recidivas de ulceração duodenal. Condições de hipersecreção, tais como esofagite de refluxo, gastrite e síndrome de Zollinger-Ellison.",32.64,26.69,18,Drogaria Globo,Sudeste,São Paulo,7993.0
10848,Prolopa BD 100/25mg 60 Comprimidos,7896226506388.0,PROLOPA,"Prolopa é uma associação das substâncias levodopa e cloridrato de benserazida, indicado para o tratamento de pacientes com doença de Parkinson.",122.53,102.39,16,Drogaria Globo,Sudeste,São Paulo,7994.0
10849,Sabonete Líquido Topz Infantil Cabeça aos Pés Baby 200ml,7896004818429.0,TOPZ,"Sabonete Líquido Da Cabeça ao Pés - Topz BabyO Sabonete Líquido Topz Baby possui fórmula hidratante com ativos vegetais e glicerina, proporciona conforto e limpeza suave, sem irritar a pele e os olhos do Bebê.",10.39,10.39,0,Drogaria Globo,Sudeste,São Paulo,7995.0
10850,Kit Isdin Fusion Water Cor Clara 50ml+Micellar Solution 400ml,8429420238268.0,ISDIN,Kit Isdin Fusion Water Cor Clara 50ml+Micellar Solution 400ml,126.29,126.29,0,Drogaria Globo,Sudeste,São Paulo,7996.0
10851,Bico Mamadeira Kuka Azul Silicone,7896000650276.0,KUKA BABY,"Bico Mamadeira Kuka Azul de silicone,é macio e confortável para ajudar no desenvolvimento dos músculos da boca do seu bebê.",11.19,11.19,0,Drogaria Globo,Sudeste,São Paulo,7997.0
10852,Stanglit 15mg 30 Comprimidos,7896094207745.0,STANGLIT,"Stanglit contém uma substância chamada cloridrato de pioglitazona. É um medicamento antidiabético usado para tratar diabetes mellitus tipo II (não insulino-dependente), quando metformina não for adequada ou falhou no controle adequado do diabetes. Este é um tipo de diabetes que usualmente se desenvolve na vida adulta.",84.94,69.29,18,Drogaria Globo,Sudeste,São Paulo,7998.0
10853,Repelente Gel Exposis Infantil 100ml,7898392800277.0,EXPOSIS,"Seu uso é indicado para usar na pele da criança a partir de 6 meses de vida para proteger contra picadas de insetos, como o Aedes Aegypti e Aedes Albopictus (transmissores da dengue, febre amarela, chikungunya e Zika vírus), o Anófeles (transmissor da malária), o Culex (transmissor da filariose), além de pernilongos e outros mosquitos.",49.79,49.79,0,Drogaria Globo,Sudeste,São Paulo,7999.0
10854,Solução Nasal Neosoro H 60ml,7896714225296.0,NEOSORO,NEOSORO H é indicado como descongestionante nasal de uso tópico.,28.5,19.27,32,Drogaria Globo,Sudeste,São Paulo,8000.0
10855,Shampoo Darrow Doctar Plus com 240ml,3282770143942.0,DOCTAR,"Shampoo para cabelos com caspa. Darrow Doctar Plus eficácia contra a irritação e descamação, com resultados imediatos. Darrow Doctar Plus é o shampoo anticaspa da linha mais prescrita por médicos dermatologistas. Combina ingredientes que garantem resultados instantâneo e ação antifúngica: combate a formação de placas, alivia a irritação, diminui a oleosidade e a coceira. A fórmula sem sulfato protege a fibra capilar e não danifica os fios.",106.29,106.29,0,Drogaria Globo,Sudeste,São Paulo,8001.0
10856,Strepsils Laranja 8 Pastilhas,7891035010958.0,STREPSILS,"Strepsils pastilhas é indicado para a inflamação da garganta, proporcionando alívio sintomático por até 3 horas.",15.19,13.9,8,Drogaria Globo,Sudeste,São Paulo,8002.0
10857,"Esmalte Impala Acalma Mente Tranquilex 7,5 ml",7896111996348.0,IMPALA,"Estamos em uma era onde o stress está presente na rotina de praticamente todos nós. Pressão, ansiedade, cansaço, acabam afetando diretamente nossa qualidade de vida e cada vez mais buscamos conforto e fugir da realidade. Uma das formas de minimizar as sensações estressantes é realizando rituais de autocuidado, fazendo uma pausa para reflexões, meditação, respiração, skincare e dentre eles, o cuidado com as unhas, e disso entendemos bem! E na maioria dessas práticas as fragrâncias estão presentes para transmitir sentimentos de segurança, calma e felicidade. Como forma de contribuir ainda mais com rituais de bem-estar a Impala desenvolveu a coleção de Primavera/2022 Acalma-Mente, que vai tornar seu momento de autocuidado ainda mais prazeroso não só com as lindas cores escolhidas entre as tendências da estação, mas também como uma fragrância especial para perfumar seu momento. Com notas olfativas de folhas verdes, flores e frutal de pêssego, que promovem sensação de calma, conforto e felicidade, minimizando os estresses diários. A coleção é composta por 7 cores e um Óleo Bifásico Multifuncional que contém vitamina E, D-Pantenol e blend de óleos, para maior proteção, nutrição e hidrata",4.99,4.99,0,Drogaria Globo,Sudeste,São Paulo,8003.0
10858,Colflex Complet 30 Comprimido,7896094918856.0,COLFLEX,"Colflex Complet Colágeno Tipo II proporciona a diminuição dos incômodos articulares e aumento da flexibilidade, também revine o desgaste natural dos músculos, ossos, pele e articulações. Com a ação da reposição do colageno.",173.14,161.02,7,Drogaria Globo,Sudeste,São Paulo,8004.0
10859,Fralda Geriátrica Tena Slip Dermacare G 16 Unidades,7896770980849.0,TENA,"Fralda TENA Dermacare possui dupla camada e um núcleo de alta absorção que rapidamente retém a urina promovendo segurança em um produto hipoalergênico. Com tecido macio e respirável que permite a respiração da pele mantem a mesma sempre seca e saudável, ajudando a prevenir irritações.   Possui tecnologia antivazamento com barreiras protetoras, elásticos nas costas e controle antiodor.   Indicada para incontinência urinária e fecal em usuários com pouca ou nenhuma mobilidade.  Proteção e cuidado para a pele todos os dias.  ? Tamanho: G (92 - 144 cm)  ? Referência: 70-90 kg",67.79,56.43,17,Drogaria Globo,Sudeste,São Paulo,8005.0
10860,Protetor Solar LOréal Expertise Antioleosidade Cor Média FPS60 40g,7899706197953.0,LOREAL PARIS,"O L Oréal Paris Solar Expertise Antioleosidade é um protetor solar facial sem cor, que protege a pele contra os danos causados pelo sol, enquanto controla a oleosidade, proporcionando uma sensação de pele limpa com 12h de efeito matte.",48.29,48.29,0,Drogaria Globo,Sudeste,São Paulo,8006.0
10861,Chupeta Kuka Color Ortodôntica Tamanho 2 Rosa,7896000620675.0,KUKA BABY,"A Chupeta Color Kuka Ortodôntica Decorada Rosa N 1o possui bico ortodôntico de silicone macio, tamanho 1 de 0 a 6 meses, escudo cristal colorido e fixador decorado, livre de BPA.AÇÃO/ATIVOS: Chupeta de Silicone Ortodôntica da marca Kuka, ideal para o crescimento correto dos dentinhos de seu bebê.",17.99,17.99,0,Drogaria Globo,Sudeste,São Paulo,8007.0
10862,Desodorante para Pés Jato Seco Tenys Pé Original 86g,7896020160151.0,TENYS PE,"Desodorante para os pés Jato Seco Tenys Pé Original protege contra os odores da transpiração. Sua fórmula combate 99% de fungos e bactérias mantendo os pés secos, protegidos e livre de odores. Proteção por até 24hs.Pode ser aplicado diretamente nos pés e tem secagem instantânea.",15.59,15.59,0,Drogaria Globo,Sudeste,São Paulo,8008.0
10863,Biofenac DI 50mg 20 Comprimidos,7896658014345.0,BIOFENAC,"Utilizado no tratamento de curto prazo: Dor e inflamação no pós-operatório; Entorses, distensões e outras lesões; Dor articular degenerativa (artrite); Crises de gota; dor nas costas, síndrome do ombro congelado, cotovelo de tenista e outros tipos de reumatismo de tecidos moles; Condições inflamatórias dolorosas em ginecologia, incluindo períodos menstruais; Infecções do ouvido, nariz e garganta.",39.11,29.49,25,Drogaria Globo,Sudeste,São Paulo,8009.0
10864,Boston Simplus Solução Multiação 120ml,310119052440.0,BOSTON,"O Boston Simplus apresenta sistema de desinfecção, tendo eficácia comprovada de uma gama de bactérias e fungos, os mais comumente associados ao uso de lentes de contato, trazendo uma maior saúde e segurança para os olhos. O produto tem o sistema de umidificação e proteção. Deixando a visão mais clara e nítida.",75.99,75.99,0,Drogaria Globo,Sudeste,São Paulo,8010.0
10865,Jogger 500mg+400mg 90 Cápsulas,7896658047046.0,JOGGER,"Jogger é indicado para osteoartrite, osteoartrose ou artrose em todas as suas manifestações.",189.39,156.36,17,Drogaria Globo,Sudeste,São Paulo,8011.0
10866,Nicorette Icemint 4mg 30g Gomas Mastigáveis,7891010970888.0,NICORETTE,"Indicado para o tratamento de indivíduos dependentes de tabaco para aliviar os sintomas da síndrome de abstinência de nicotina, levando à diminuição e abandono do hábito de fumar. Fumantes de até 20 cigarros/dia devem iniciar com o 2mg, no caso de mais de 20 cigarros/dia, iniciar com o 4mg.",98.9,90.16,9,Drogaria Globo,Sudeste,São Paulo,8012.0
10867,Tenoxicam 20mg Genérico EMS 10 Comprimidos,7896004700274.0,TENOXICAM,"O tenoxicam é indicado para tratar os sintomas (principalmente a dor) de doenças com componentes inflamatórios, degenerativos e dolorosos em geral, principalmente do sistema muscular (musculoesquelético).",51.9,40.75,21,Drogaria Globo,Sudeste,São Paulo,8013.0
10868,Shampoo Dove Ritual de Reparação 400ml,7891150050082.0,DOVE,Inspirada nos rituais de beleza das mulheres indianas.É um shampoo enriquecido com óleo de coco e cúrcuma. Ajuda a reparar e fortalecer o cabelo danificado.Modo de uso:Massageie sobre os cabelos molhados e enxágue. Aplicar novamente se necessário.,22.19,22.19,0,Drogaria Globo,Sudeste,São Paulo,8014.0
10869,Mamadeira Nuk Essence Boy S1 150ml,7896098810927.0,NUK,O desenvolvimento do bico da mamadeira NUK Essence é baseado em conhecimento médico e estudos científicos. Seu sistema com múltiplos micro furos possibilita uma alimentação com fluxo adequado à consistência do líquido. O sistema de fluxo de líquidos NUK essence é composto por múltiplos furos que variam em quantidade para assegurar um fluxo adequado de acordo com a consistência de cada alimento.,44.29,44.29,0,Drogaria Globo,Sudeste,São Paulo,8015.0
10870,Dicloridrato de Betaistina 16mg Genérico Biosintética 30 comprimidos,7896181921325.0,BIOSINTETICA - GENERICO,Síndrome de Ménière: caracterizada por 3 (três) principais sintomas: vertigem (sensação de tontura com mal estar acompanhado de náusea ou vômito); zumbido nos ouvidos e; perda ou dificuldade de audição. - Sensação de tontura: causada quando uma parte do seu ouvido interno que controla o seu equilíbrio não está funcionando corretamente (chamada ?vertigem vestibular?).,29.9,11.69,61,Drogaria Globo,Sudeste,São Paulo,8016.0
10871,Gel Protetor Calos Bolhas Granado Pink 45G,7896512920355.0,GRANADO,O Gel Protetor de Calos e Bolhas Granado Pink promove uma camada protetora que lubrifica a pele dos pés evitando a formação de calos e bolhas. Pode ser utilizado para prevenir assaduras e desconfortos causados roupas ou acessórios.,37.39,37.39,0,Drogaria Globo,Sudeste,São Paulo,8017.0
10872,Escova Dental Sensodyne Esmalte Care Suave,7896015518363.0,SENSODYNE,,11.79,11.79,0,Drogaria Globo,Sudeste,São Paulo,8018.0
10873,Monitor de Pressão Arterial de Braço Omron 7144T,7898949253778.0,OMRON,,402.89,402.89,0,Drogaria Globo,Sudeste,São Paulo,8019.0
10874,Gel de Limpeza CeraVe Control Acne 60g,7899706192699.0,CERAVE,"Ideal para peles normais a oleosas, o Gel de Limpeza Facial CeraVe limpa e remove a oleosidade sem agredir a pele. Sua fórmula suave possui três tipos de ceramidas essenciais, ácido hialurônico e niacinamida, que, juntos, ajudam a reforçar a barreira cutânea, aumentar hidratação e acalmar a pele.  Não comedogênico, não irritante e sem perfume. Desenvolvido em conjunto com dermatologistas.",42.29,42.29,0,Drogaria Globo,Sudeste,São Paulo,8020.0
10875,Quitlis Solução Oral 150ml,7896685302095.0,QUITLIS,"Suplemento vitamínico-mineral para crianças de 3 a 10 anos, elaborado de acordo com a Ingestão Diária Recomendada (IDR), que auxilia o melhor funcionamento do organismo",74.09,68.9,7,Drogaria Globo,Sudeste,São Paulo,8021.0
10876,Adaptis Solução Oftálmica 1% 10ml,7896004769325.0,ADAPTIS,"Colírio Lubrificante Adaptis Fresh suas propriedades lubrificantes aliviam os desconfortos causados por poeira, fumaça, vento e ar condicionado.",54.69,54.69,0,Drogaria Globo,Sudeste,São Paulo,8022.0
10877,Máscara 1 Minuto Dove Ritual de Reparação 500g,7891150080744.0,DOVE,"A máscara capilar de tratamento Dove Ritual de Reparação foi inspirada em rituais de beleza das mulheres indianas para tratar cabelos danificados. Com a nutrição avançada de Dove combinada com ingredientes conhecidos por suas propriedades reparadoras, a nova máscara de tratamento Dove Ritual de Reparação repara, fortalece e nutre o cabelo, deixando-o saudável e reparado contra os danos.",21.49,21.49,0,Drogaria Globo,Sudeste,São Paulo,8023.0
10878,Iogurte Natural Nestlé Mel 170G,7891000072974.0,NESTLE,"Deliciosa combinação do suave iogurte natural NESTLÉ� com um toque de mel. O iogurte natural é um alimento saudável, que, além de conter todos os nutrientes do leite, como proteínas, carboidratos, vitaminas e sais minerais, possui microorganismos vivos que exercem uma influência positiva no organismo.",3.59,3.59,0,Drogaria Globo,Sudeste,São Paulo,8024.0
10879,Sérum SkinCeuticals Phyto Corrective Gel 15ml,7899706188128.0,SKINCEUTICALS,"Sérum Corretor Calmante testado em todos os tipos de pele, desenvolvido para pele oleosa e sensível.",188.59,188.59,0,Drogaria Globo,Sudeste,São Paulo,8025.0
10880,Suplemento Vitamínico A-Z Homem com 90comprimidos,7896094926066.0,VITASAY,"O Suplemento Vitamínico A-Z Homem auxilia no metabolismo energético, sistema imune e funcionamento muscular. Ajuda a complementar as necessidades diárias de vitaminas e minerais.",74.79,69.23,7,Drogaria Globo,Sudeste,São Paulo,8026.0
10881,Xarope Hedera Herbarium 150ml,7896083411948.0,HEDERA,"Hedera é indicada como expectorante e mucofluidificante nos casos de tosse seca, tosse produtiva e tosse com catarro.",31.62,28.86,9,Drogaria Globo,Sudeste,São Paulo,8027.0
10882,"Esmalte Impala Netflix Brand Cremoso Tudum 7,5ml",7896111994627.0,IMPALA,"Esmalte Impala Netflix Brand Cremoso Tudum 7,5m",4.99,4.99,0,Drogaria Globo,Sudeste,São Paulo,8028.0
10883,Fralda Mamypoko Calça Mega Tamano G 36 Unidades,7898953823134.0,MAMYPOKO,,47.19,47.19,0,Drogaria Globo,Sudeste,São Paulo,8029.0
10884,Fórmula Infantil Nestogeno 1 para Lactente Lata 400g,7891000056523.0,NESTOGENO,Fórmula Infantil para Lactentes de 0 a seis (6) meses de idade. Com prebióticos. Fórmula infantil de seguimento para lactentes e crianças de primeira infância. A partir do seis mês. NÃO CONTÉM GLÚTEN.,30.99,30.99,0,Drogaria Globo,Sudeste,São Paulo,8030.0
10885,Bálsamo Pós Barba Nivea For Men Sensitive 100ml,8715200813061.0,NIVEA,"Bálsamo Pós Barba foi especialmente desenvolvido para a pele sensível do homem. A sua fórmula com 0% álcool etílico evita sensação de ardência da pele após o barbear. É extra suave, e enriquecido com a poderosa combinação de Camomila e Hamamelis. Especialmente desenvolvido para a pele sensível e facilmente irritável com o barbear. Rapidamente absorvido, suavizando a pele do rosto após o barbear.",33.69,33.69,0,Drogaria Globo,Sudeste,São Paulo,8031.0
10886,Pedra Hume em Pó Farmax 20g,7896902205758.0,FARMAX,"O Pedra Hume Pura Pó Farmax 20g é um produto adstringente indicado para fechar os poros após o barbear e para cuidar das cutículas. Sua fórmula com Alúmen de Potássio é eficaz para ser aplicada em cortes, tanto no rosto quanto nas cutículas, pois ajuda a estancar os ferimentos e a cicatrização é mais rápida.",6.59,6.59,0,Drogaria Globo,Sudeste,São Paulo,8032.0
10887,Protetor Solar Actine com Cor Fps 60 40G,3282770206050.0,ACTINE,Protetor solar com cor para peles oleosas e acneicas. O Protetor Solar com Cor Darrow Actine FPS 60 possui ação antioxidante que previne contra o envelhecimento da pele e protege contra a luz visível. Sua textura fluída é absorvida imediatamente e deixa um toque seco confortável.,68.39,68.39,0,Drogaria Globo,Sudeste,São Paulo,8033.0
10888,"Esmalte Revlon Creme Fearless 14,7ml",33000004044.0,REVLON,,13.79,13.79,0,Drogaria Globo,Sudeste,São Paulo,8034.0
10889,Limpador Facial Sallve Niacinamida 150ml,7908335401925.0,Sallve,Limpador Facial Sallve Niacinamida 150ml,47.39,47.39,0,Drogaria Globo,Sudeste,São Paulo,8035.0
10890,"Lápis de Olho Vult Feat Lexa Top Hits Dourado Hit Maker 1,1g",7899852020723.0,VULT,"Vult Top Hits feat Lexa Verde Solta o Beat Lápis para Olhos Vult feat Lexa Dourado Hit Maker possui textura macia e cores intensas que pigmentam vários tons de pele.    O Lápis para Olhos Top Hits Vult feat Lexa Dourado Hit Maker é seu novo companheiro na hora de delinear os olhos, seja para criar um delineado gráfico ou até mesmo um olho esfumado sofisticado. Sua fórmula de longa duração é vegana, cruelty free oftalmologicamente testada. Se jogue nos looks com as cores tendência escolhidas e assinadas pela Lexa para você arrasar!",17.39,17.39,0,Drogaria Globo,Sudeste,São Paulo,8036.0
10891,Mesidox 2mg 30 Comprimidos,7891721023545.0,MESIDOX,"O mesilato de doxazosina é indicado para o tratamento dos sintomas da hiperplasia prostática benigna HPB (doença caracterizada pelo aumento benigno da próstata), assim como para o tratamento da redução do fluxo urinário associada à HPB.",40.46,33.46,17,Drogaria Globo,Sudeste,São Paulo,8037.0
10892,Luftal 75mg/ml Gotas 30ml,7896016808302.0,LUFTAL,"Indicado para pacientes com excesso de gases no aparelho digestivo. O acúmulo de gases no estômago e no intestino chama-se flatulência, que causa desconforto abdominal, aumento do volume abdominal, dor ou cólicas no abdômen. A eliminação dos gases alivia estes sintomas.",55.9,49.1,12,Drogaria Globo,Sudeste,São Paulo,8038.0
10893,Photoderm Spray FPS 30 400ml,3701129802311.0,PHOTODERM,"O protetor solar Bioderma Photoderm Spray de 400ml foi pensado para ser prático, econômico e altamente eficaz contra os raios solares.",190.49,190.49,0,Drogaria Globo,Sudeste,São Paulo,8039.0
10894,Uro-Vaxom 6mg 30 Cápsulas,7896637023580.0,URO-VAXON,"Uro-Vaxom é indicado como imunoterápico, no tratamento de longo prazo, para prevenção de infecções do trato urinário inferior de repetição.",157.82,135.02,14,Drogaria Globo,Sudeste,São Paulo,8040.0
10895,Olmesartana Medoxomila+Besilato de Anlodipino 20mg+5mg 30 Comprimidos EMS,7896004750644.0,OLMESARTANA,"é indicado para o tratamento da pressão arterial alta, ou seja, a pressão cujas medidas estejam acima de 140 mm Hg (pressão ?alta? ou sistólica) ou 90 mm Hg (pressão ?baixa? ou diastólica). Pode ser usado isoladamente ou em combinação com outros agentes antihipertensivos.",55.68,52.9,5,Drogaria Globo,Sudeste,São Paulo,8041.0
10896,Roupa Íntima Bigfral Pants Premium G/XG Leve 20 Pague 18,7896012880074.0,BIGFRAL,"Com ajuste anatômico e barreiras antivazamento que garantem total discrição e segurança indicada ao público ativo com incontinência urinária moderada a intensa. Tecnologia Ultrasec: Máxima Absorção que mantem a pele seca através de uma distribuição de urina e menor retorno. Ajuste Anatômico: Cintura elástica que se adapta melhor ao corpo, proporcionando total discrição e conforto.",71.69,71.69,0,Drogaria Globo,Sudeste,São Paulo,8042.0
10897,Creme Dental Closeup Multivitaminas Branqueadora 85g,7891150088351.0,CLOSE UP,Creme Dental Closeup Multivitaminas Branqueadora 85g,5.99,5.99,0,Drogaria Globo,Sudeste,São Paulo,8043.0
10898,Kit Giovanna Baby  Blue com 4 Sabonetes,7896044995388.0,GIOVANNA BABY,,20.89,20.89,0,Drogaria Globo,Sudeste,São Paulo,8044.0
10899,Sabonete Líquido Dermotivin Salix 70ml,7897930764354.0,DERMOTIVIN,"ua fórmula potente possui ácido salicílico, substância que proporciona limpeza profunda dos poros combatendo a acne. A linha Salix possui também ingredientes com ação antisséptica e bactericida.",35.69,35.69,0,Drogaria Globo,Sudeste,São Paulo,8045.0
10900,Mega Day Cálcio 60 Drágeas,7897947610446.0,MEGA DAY,"Mega Day Cálcio suplemento vitamínico e mineral para a prevenção/tratamento auxiliar da desmineralização óssea pré e pós menopausal, prevenção do raquitismo e na gestação e aleitamento.",52.99,52.99,0,Drogaria Globo,Sudeste,São Paulo,8046.0
10901,Coristina D 8 Comprimidos,7891142203014.0,CORISTINA,"Coristina D é indicada no tratamento dos sintomas do resfriado comum e da gripe (dor de cabeça, dor no corpo, febre, coriza, espirros e obstrução nasal).",19.98,19.98,0,Drogaria Globo,Sudeste,São Paulo,8047.0
10902,Desrinite 120mg 10 Comprimidos,7896714290591.0,DESRINITE,,45.63,31.64,31,Drogaria Globo,Sudeste,São Paulo,8048.0
10903,Colônia Giovanna Baby Cherry 50ml,7896044952756.0,GIOVANNA BABY,"A Deo Colônia Giovanna Baby Cherry combina notas de pêssego, lichia, cereja preta, pomelo rosa e groselha na saída, complementadas por delicadas, porém marcantes, notas florais no corpo e um fundo cremoso de âmbar e baunilha. Romântica, envolvente e única! Uma deliciosa poção do amor.",67.69,67.69,0,Drogaria Globo,Sudeste,São Paulo,8049.0
10904,Iogurte Ninho Soleil Morango 170G,7891000103876.0,NESTLE,"Os iogurtes NINHO� são fontes de cálcio e vitaminas, e ricos em zinco, nutrientes importantes para o crescimento e desenvolvimento. O Iogurte líquido NINHO� sabor morango é o alimento ideal para o café da manhã ou o lanche das crianças, pois tem frutas e cereal que deixam o sabor ainda mais gostoso.",3.69,3.69,0,Drogaria Globo,Sudeste,São Paulo,8050.0
10905,Lenço Umedecido Asepxia Mascara Carvão Detox,7798140253365.0,ASEPXIA,"A Máscara Asepxia Carvão Ativado Detox é o tratamento de pele Peel Off que vai ajudar a melhorar o aspecto da sua pele, principalmente se você sofre com cravos e espinhas. Formulado com carvão ativado, limpa profundamente, purifica a pele, desobstrui os poros e não resseca, além de ajudar a remover os cravos e a controlar a oleosidade, prevenindo, assim, o aparecimento de espinhas.",20.79,20.79,0,Drogaria Globo,Sudeste,São Paulo,8051.0
10906,Roupa Íntima Tena Pants Confort P/M 8 Unidades,7896770979126.0,BIOFRAL,"Roupa Íntima Descartável TENA Pants Confort é uma roupa íntima descartável e unissex de rápida absorção, proporcionando ao usuário ativo ou com pouca mobilidade facilidade de uso, discrição e segurança.  É indicado para perdas de urina moderada a severa.  ?	Núcleo de Ultra Absorção Acquidry;  ?	Odour Neutralizer? - Sistema que neutraliza o risco de odores indesejáveis;  ?	Material Macio - suave ao contato com a pele;  ?	Mais elásticos em volta da cintura permitindo uma adaptação perfeita ao corpo; ?	Elásticos duplos nas pernas para um melhor conforto e segurança contra vazamentos; ?	Costuras laterais removíveis para retirar o produto com maior facilidade.",32.29,32.29,0,Drogaria Globo,Sudeste,São Paulo,8052.0
10907,Base Vult Efeito Natural Cor 07 25ml,7899852010021.0,VULT,"Base líquida com acabamento natural. Vult Efeito Natural confere leve cobertura para todos os tipos de pele para um rosto uniforme e suave.Ideal para o dia a dia e para situações que não peçam uma maquiagem pesada ou com alta cobertura. Com fórmula hidratante, Vult Efeito Natural de tem textura suave e sequinha no rosto.",12.89,12.89,0,Drogaria Globo,Sudeste,São Paulo,8053.0
10908,Lumier Aox 30cápsulas,7896006218937.0,LUMIER,Lumier Aox é um suplemento alimentar em cápsula dura composto por luteína e licopeno associados a vitaminas e minerais.,136.99,136.99,0,Drogaria Globo,Sudeste,São Paulo,8054.0
10909,Termômetro Clínico Incoterm Ecológico 1.0,7899828219380.0,INCOTERM,"O Termômetro Clínico Ecológico Incoterm determina a temperatura corporal, podendo ser medida via oral ou axilar.",27.19,27.19,0,Drogaria Globo,Sudeste,São Paulo,8055.0
